x,y,z
-190.271,157.159,0.0
-191.552,152.38,0.0
-192.832,147.602,0.0
-194.113,142.824,0.0
-195.393,138.046,0.0
-196.674,133.267,0.0
-197.955,128.489,0.0
-199.235,123.711,0.0
-200.516,118.933,0.0
-201.796,114.154,0.0
-203.077,109.376,0.0
-204.357,104.598,0.0
-205.638,99.82,0.0
-206.921,95.042,0.0
-208.221,90.269,0.0
-209.571,85.51,0.0
-210.982,80.769,0.0
-212.428,76.038,0.0
-213.881,71.309,0.0
-215.335,66.581,0.0
-216.79,61.853,0.0
-218.244,57.124,0.0
-219.698,52.396,0.0
-221.152,47.668,0.0
-222.606,42.94,0.0
-224.061,38.211,0.0
-225.514,33.483,0.0
-226.958,28.751,0.0
-228.317,23.995,0.0
-229.362,19.162,0.0
-229.914,14.248,0.0
-230.138,9.306,0.0
-230.269,4.361,0.0
-230.389,-0.584,0.0
-230.508,-5.53,0.0
-230.627,-10.475,0.0
-230.748,-15.421,0.0
-230.87,-20.366,0.0
