x,y,z
-101.089,30.493,0.0
-97.338,27.262,0.0
-93.515,24.119,0.0
-89.478,21.257,0.0
-85.128,18.903,0.0
-80.537,17.058,0.0
-75.811,15.589,0.0
-70.991,14.464,0.0
-66.112,13.631,0.0
-61.208,12.955,0.0
-56.297,12.341,0.0
-51.381,11.762,0.0
-46.462,11.204,0.0
-41.542,10.655,0.0
-36.623,10.109,0.0
-31.703,9.563,0.0
-26.783,9.018,0.0
-21.862,8.484,0.0
-16.935,8.007,0.0
-11.996,7.68,0.0
-7.047,7.569,0.0
-2.098,7.628,0.0
2.851,7.758,0.0
7.799,7.905,0.0
12.746,8.054,0.0
17.694,8.203,0.0
22.642,8.352,0.0
27.59,8.5,0.0
32.538,8.649,0.0
37.486,8.797,0.0
42.433,8.945,0.0
47.381,9.094,0.0
52.329,9.242,0.0
57.277,9.39,0.0
62.225,9.532,0.0
67.174,9.612,0.0
72.114,9.35,0.0
76.843,7.972,0.0
80.748,4.97,0.0
83.868,1.131,0.0
86.713,-2.92,0.0
89.504,-7.008,0.0
92.271,-11.112,0.0
94.935,-15.284,0.0
97.307,-19.627,0.0
99.22,-24.19,0.0
100.754,-28.895,0.0
102.113,-33.655,0.0
103.376,-38.441,0.0
104.509,-43.26,0.0
105.493,-48.111,0.0
106.377,-52.981,0.0
107.227,-57.858,0.0
108.137,-62.723,0.0
109.26,-67.543,0.0
110.681,-72.285,0.0
112.326,-76.953,0.0
114.123,-81.565,0.0
116.062,-86.119,0.0
118.067,-90.645,0.0
120.01,-95.198,0.0
121.852,-99.792,0.0
123.64,-104.408,0.0
125.386,-109.04,0.0
127.007,-113.717,0.0
128.341,-118.483,0.0
129.319,-123.334,0.0
130.06,-128.228,0.0
130.717,-133.135,0.0
131.358,-138.043,0.0
131.996,-142.952,0.0
132.634,-147.86,0.0
133.273,-152.769,0.0
133.911,-157.678,0.0
134.549,-162.587,0.0
