x,y,z
134.549,-162.587,0.0
133.906,-157.639,0.0
133.262,-152.691,0.0
132.619,-147.744,0.0
131.976,-142.796,0.0
131.332,-137.848,0.0
130.688,-132.901,0.0
130.037,-127.954,0.0
129.321,-123.016,0.0
128.351,-118.123,0.0
126.955,-113.335,0.0
125.262,-108.642,0.0
123.482,-103.981,0.0
121.683,-99.327,0.0
119.833,-94.693,0.0
117.854,-90.113,0.0
115.792,-85.57,0.0
113.843,-80.977,0.0
112.059,-76.318,0.0
110.402,-71.612,0.0
108.992,-66.827,0.0
107.937,-61.952,0.0
107.08,-57.036,0.0
106.257,-52.115,0.0
105.576,-47.174,0.0
105.506,-42.192,0.0
106.431,-37.297,0.0
107.974,-32.553,0.0
109.718,-27.878,0.0
111.638,-23.274,0.0
113.853,-18.805,0.0
116.67,-14.7,0.0
120.7,-11.828,0.0
125.493,-10.48,0.0
130.417,-9.676,0.0
135.35,-8.927,0.0
140.275,-8.129,0.0
145.194,-7.294,0.0
150.123,-6.52,0.0
155.082,-5.974,0.0
160.064,-5.72,0.0
165.053,-5.675,0.0
170.041,-5.802,0.0
175.02,-6.108,0.0
179.982,-6.625,0.0
184.918,-7.357,0.0
189.835,-8.202,0.0
194.747,-9.074,0.0
199.66,-9.948,0.0
