x,y,z
199.659,-9.949,0.0
194.822,-9.095,0.0
189.981,-8.26,0.0
185.132,-7.481,0.0
180.266,-6.81,0.0
175.381,-6.297,0.0
170.48,-5.967,0.0
165.57,-5.823,0.0
160.659,-5.869,0.0
155.754,-6.123,0.0
150.864,-6.592,0.0
145.995,-7.237,0.0
141.14,-7.983,0.0
136.291,-8.765,0.0
131.449,-9.593,0.0
126.643,-10.605,0.0
121.959,-12.074,0.0
117.522,-14.174,0.0
113.231,-16.564,0.0
108.696,-18.424,0.0
103.83,-18.804,0.0
99.212,-17.23,0.0
95.362,-14.202,0.0
92.148,-10.491,0.0
89.252,-6.524,0.0
86.511,-2.448,0.0
83.986,1.764,0.0
82.055,6.27,0.0
81.515,11.124,0.0
82.731,15.863,0.0
84.948,20.242,0.0
87.532,24.419,0.0
