x,y,z
156.293,174.009,0.0
161.177,175.04,0.0
166.145,175.511,0.0
171.138,175.56,0.0
176.13,175.476,0.0
181.123,175.369,0.0
186.113,175.201,0.0
191.056,174.553,0.0
195.437,172.26,0.0
198.782,168.561,0.0
202.157,164.886,0.0
206.154,161.911,0.0
210.667,159.785,0.0
215.157,157.611,0.0
219.106,154.57,0.0
222.613,151.016,0.0
226.14,147.483,0.0
230.027,144.357,0.0
234.436,142.032,0.0
239.182,140.492,0.0
244.024,139.272,0.0
248.847,137.981,0.0
253.568,136.358,0.0
258.166,134.412,0.0
262.729,132.384,0.0
267.311,130.4,0.0
271.906,128.445,0.0
276.503,126.496,0.0
281.1,124.546,0.0
285.697,122.597,0.0
290.295,120.648,0.0
294.892,118.699,0.0
299.489,116.75,0.0
304.086,114.8,0.0
308.683,112.851,0.0
