x,y,z
-264.134,106.26,0.0
-259.423,104.698,0.0
-254.717,103.124,0.0
-250.016,101.53,0.0
-245.327,99.904,0.0
-240.656,98.228,0.0
-236.011,96.481,0.0
-231.402,94.639,0.0
-226.841,92.682,0.0
-222.338,90.596,0.0
-217.896,88.383,0.0
-213.508,86.063,0.0
-209.158,83.675,0.0
-204.814,81.273,0.0
-200.445,78.919,0.0
-196.021,76.67,0.0
-191.526,74.568,0.0
-186.955,72.635,0.0
-182.316,70.872,0.0
-177.621,69.262,0.0
-172.884,67.783,0.0
-168.115,66.409,0.0
-163.322,65.119,0.0
-158.512,63.896,0.0
-153.69,62.721,0.0
-148.863,61.57,0.0
-144.04,60.397,0.0
-139.247,59.112,0.0
-134.539,57.544,0.0
-130.09,55.362,0.0
-126.402,52.08,0.0
-124.24,47.648,0.0
-123.562,42.743,0.0
-123.763,37.788,0.0
-124.431,32.871,0.0
-125.358,27.995,0.0
-126.435,23.151,0.0
-127.605,18.327,0.0
-128.835,13.519,0.0
-130.11,8.723,0.0
-131.421,3.936,0.0
-132.763,-0.842,0.0
-134.129,-5.614,0.0
-135.513,-10.38,0.0
-136.901,-15.145,0.0
-138.28,-19.913,0.0
-139.634,-24.687,0.0
-140.948,-29.473,0.0
-142.213,-34.272,0.0
-143.424,-39.085,0.0
-144.58,-43.912,0.0
-145.686,-48.75,0.0
-146.75,-53.598,0.0
-147.782,-58.452,0.0
-148.79,-63.312,0.0
-149.782,-68.175,0.0
-150.764,-73.04,0.0
-151.74,-77.906,0.0
-152.713,-82.773,0.0
