x,y,z
-152.533,-82.825,0.0
-151.513,-77.993,0.0
-150.48,-73.163,0.0
-149.433,-68.337,0.0
-148.369,-63.514,0.0
-147.287,-58.695,0.0
-146.186,-53.881,0.0
-145.064,-49.071,0.0
-143.92,-44.266,0.0
-142.753,-39.467,0.0
-141.563,-34.674,0.0
-140.348,-29.887,0.0
-139.108,-25.107,0.0
-137.84,-20.333,0.0
-136.543,-15.568,0.0
-135.212,-10.812,0.0
-133.841,-6.067,0.0
-132.423,-1.336,0.0
-130.943,3.376,0.0
-129.381,8.061,0.0
-127.707,12.707,0.0
-125.87,17.291,0.0
-123.79,21.77,0.0
-121.327,26.047,0.0
-118.236,29.888,0.0
-114.216,32.711,0.0
-109.423,33.758,0.0
-104.526,33.22,0.0
-99.784,31.848,0.0
-95.163,30.107,0.0
-90.597,28.224,0.0
-86.042,26.315,0.0
-81.471,24.446,0.0
-76.867,22.658,0.0
-72.224,20.975,0.0
-67.539,19.413,0.0
-62.813,17.979,0.0
-58.05,16.675,0.0
-53.252,15.501,0.0
-48.426,14.453,0.0
-43.576,13.525,0.0
-38.705,12.71,0.0
-33.817,12.002,0.0
-28.916,11.394,0.0
-24.004,10.879,0.0
-19.084,10.452,0.0
-14.157,10.108,0.0
-9.225,9.843,0.0
-4.29,9.657,0.0
0.648,9.548,0.0
5.586,9.518,0.0
10.525,9.571,0.0
15.461,9.712,0.0
20.394,9.95,0.0
25.321,10.294,0.0
30.238,10.759,0.0
35.14,11.361,0.0
40.02,12.117,0.0
44.87,13.048,0.0
49.678,14.176,0.0
54.429,15.522,0.0
59.107,17.105,0.0
63.692,18.939,0.0
68.163,21.034,0.0
72.504,23.389,0.0
76.697,25.997,0.0
80.734,28.842,0.0
84.61,31.901,0.0
88.329,35.15,0.0
91.899,38.562,0.0
95.331,42.113,0.0
