x,y,z
287.172,170.661,0.0
284.263,166.634,0.0
281.355,162.606,0.0
278.447,158.579,0.0
275.536,154.553,0.0
272.609,150.539,0.0
269.618,146.573,0.0
266.424,142.77,0.0
262.722,139.473,0.0
258.199,137.499,0.0
253.255,137.323,0.0
248.356,138.134,0.0
243.499,139.176,0.0
238.614,140.075,0.0
233.675,140.597,0.0
228.711,140.554,0.0
223.791,139.888,0.0
218.955,138.756,0.0
214.159,137.462,0.0
209.356,136.191,0.0
204.602,134.755,0.0
200.12,132.634,0.0
196.243,129.546,0.0
193.053,125.745,0.0
190.347,121.581,0.0
187.895,117.261,0.0
185.547,112.883,0.0
183.225,108.491,0.0
180.891,104.106,0.0
178.52,99.741,0.0
176.097,95.404,0.0
173.619,91.098,0.0
171.104,86.815,0.0
168.575,82.538,0.0
166.06,78.254,0.0
163.576,73.952,0.0
161.131,69.628,0.0
158.717,65.286,0.0
156.324,60.933,0.0
153.943,56.573,0.0
151.568,52.209,0.0
149.196,47.845,0.0
146.824,43.48,0.0
144.451,39.115,0.0
142.074,34.753,0.0
139.691,30.394,0.0
137.301,26.039,0.0
134.905,21.687,0.0
132.507,17.337,0.0
130.114,12.983,0.0
127.74,8.619,0.0
125.401,4.237,0.0
123.108,-0.17,0.0
120.858,-4.599,0.0
118.628,-9.038,0.0
116.39,-13.473,0.0
