x,y,z
53.802,9.079,0.0
58.758,8.954,0.0
63.7,8.558,0.0
68.584,7.714,0.0
73.308,6.227,0.0
77.725,3.987,0.0
81.736,1.078,0.0
85.394,-2.267,0.0
88.877,-5.796,0.0
92.416,-9.268,0.0
96.262,-12.392,0.0
100.638,-14.691,0.0
105.509,-15.428,0.0
110.265,-14.151,0.0
114.332,-11.343,0.0
117.704,-7.715,0.0
120.598,-3.691,0.0
123.208,0.524,0.0
125.67,4.828,0.0
128.067,9.169,0.0
130.444,13.52,0.0
132.821,17.872,0.0
135.201,22.222,0.0
137.583,26.57,0.0
139.964,30.92,0.0
142.343,35.271,0.0
144.718,39.623,0.0
147.091,43.977,0.0
149.464,48.33,0.0
151.839,52.683,0.0
154.22,57.032,0.0
156.611,61.376,0.0
159.017,65.712,0.0
161.443,70.036,0.0
163.889,74.349,0.0
166.355,78.651,0.0
168.833,82.946,0.0
171.312,87.24,0.0
173.78,91.541,0.0
176.223,95.856,0.0
178.632,100.19,0.0
181.0,104.546,0.0
183.318,108.929,0.0
185.574,113.345,0.0
187.739,117.805,0.0
189.772,122.327,0.0
191.621,126.928,0.0
193.234,131.616,0.0
194.572,136.39,0.0
195.625,141.234,0.0
196.404,146.131,0.0
196.922,151.061,0.0
197.192,156.012,0.0
197.221,160.97,0.0
197.034,165.924,0.0
196.683,170.87,0.0
196.251,175.81,0.0
195.82,180.749,0.0
195.454,185.694,0.0
195.182,190.645,0.0
195.002,195.6,0.0
194.897,200.557,0.0
194.851,205.516,0.0
194.85,210.474,0.0
194.888,215.432,0.0
194.963,220.39,0.0
195.071,225.347,0.0
195.207,230.304,0.0
195.365,235.26,0.0
195.537,240.215,0.0
195.717,245.171,0.0
195.903,250.126,0.0
