x,y,z
-93.506,147.72,0.0
-94.98,143.025,0.0
-96.453,138.329,0.0
-97.926,133.633,0.0
-99.4,128.937,0.0
-100.873,124.241,0.0
-102.344,119.545,0.0
-103.804,114.845,0.0
-105.221,110.132,0.0
-106.541,105.391,0.0
-107.716,100.612,0.0
-108.756,95.802,0.0
-109.719,90.975,0.0
-110.664,86.145,0.0
-111.638,81.321,0.0
-112.69,76.514,0.0
-113.91,71.747,0.0
-115.556,67.113,0.0
-118.218,63.001,0.0
-122.231,60.208,0.0
-126.93,58.783,0.0
-131.82,58.277,0.0
-136.731,58.517,0.0
-141.583,59.329,0.0
-146.377,60.444,0.0
-151.145,61.663,0.0
-155.907,62.905,0.0
-160.668,64.151,0.0
-165.429,65.397,0.0
-170.191,66.643,0.0
-174.952,67.889,0.0
-179.713,69.136,0.0
-184.472,70.389,0.0
-189.218,71.69,0.0
-193.906,73.185,0.0
-198.388,75.204,0.0
-202.4,78.04,0.0
-205.922,81.475,0.0
-209.404,84.951,0.0
-213.272,87.986,0.0
-217.564,90.385,0.0
-222.101,92.289,0.0
-226.737,93.94,0.0
-231.404,95.503,0.0
-236.078,97.044,0.0
-240.753,98.582,0.0
-245.428,100.119,0.0
-250.103,101.657,0.0
-254.778,103.195,0.0
-259.453,104.732,0.0
-264.129,106.27,0.0
