x,y,z
-93.461,147.711,0.0
-94.913,142.993,0.0
-96.352,138.271,0.0
-97.773,133.544,0.0
-99.172,128.81,0.0
-100.54,124.068,0.0
-101.869,119.314,0.0
-103.146,114.546,0.0
-104.356,109.761,0.0
-105.478,104.954,0.0
-106.479,100.121,0.0
-107.314,95.256,0.0
-107.906,90.356,0.0
-108.126,85.427,0.0
-107.737,80.512,0.0
-106.315,75.802,0.0
-103.364,71.89,0.0
-99.091,69.477,0.0
-94.282,68.409,0.0
-89.355,68.169,0.0
-84.427,68.42,0.0
-79.523,68.976,0.0
-74.645,69.734,0.0
-69.792,70.63,0.0
