x,y,z
-116.419,59.414,0.0
-115.438,54.542,0.0
-114.424,49.677,0.0
-113.154,44.874,0.0
-111.033,40.395,0.0
-107.853,36.587,0.0
-104.203,33.215,0.0
-100.46,29.945,0.0
-96.702,26.692,0.0
-92.88,23.517,0.0
-88.81,20.669,0.0
-84.375,18.435,0.0
-79.72,16.698,0.0
-74.958,15.277,0.0
-70.102,14.226,0.0
-65.19,13.47,0.0
-60.262,12.824,0.0
-55.329,12.217,0.0
-50.392,11.644,0.0
-45.453,11.09,0.0
-40.513,10.541,0.0
-35.574,9.992,0.0
-30.634,9.444,0.0
-25.694,8.896,0.0
-20.754,8.356,0.0
-15.807,7.874,0.0
-10.846,7.579,0.0
-5.877,7.539,0.0
-0.908,7.647,0.0
4.06,7.793,0.0
9.028,7.942,0.0
13.996,8.092,0.0
18.963,8.241,0.0
23.931,8.391,0.0
28.899,8.54,0.0
33.867,8.689,0.0
38.835,8.838,0.0
43.803,8.986,0.0
48.77,9.135,0.0
53.738,9.284,0.0
