x,y,z
118.776,-8.873,0.0
120.907,-4.443,0.0
123.086,-0.037,0.0
125.356,4.322,0.0
127.703,8.642,0.0
130.077,12.946,0.0
132.455,17.248,0.0
134.833,21.55,0.0
137.209,25.853,0.0
139.578,30.16,0.0
141.934,34.475,0.0
144.281,38.793,0.0
146.627,43.113,0.0
148.971,47.434,0.0
151.317,51.754,0.0
153.664,56.073,0.0
156.015,60.389,0.0
158.373,64.702,0.0
160.739,69.011,0.0
163.134,73.304,0.0
165.588,77.563,0.0
168.099,81.789,0.0
170.631,86.002,0.0
173.161,90.216,0.0
175.657,94.451,0.0
178.068,98.734,0.0
180.394,103.065,0.0
182.68,107.416,0.0
184.958,111.773,0.0
187.232,116.13,0.0
189.51,120.486,0.0
191.845,124.812,0.0
194.466,128.967,0.0
197.771,132.59,0.0
202.007,135.02,0.0
206.85,135.777,0.0
211.726,136.355,0.0
216.398,137.862,0.0
220.954,139.707,0.0
225.683,141.028,0.0
230.572,141.457,0.0
235.465,141.043,0.0
240.293,140.122,0.0
245.079,139.002,0.0
249.814,137.684,0.0
254.435,136.013,0.0
258.948,134.064,0.0
263.441,132.072,0.0
267.955,130.125,0.0
272.479,128.202,0.0
277.004,126.283,0.0
281.53,124.364,0.0
286.056,122.445,0.0
290.581,120.527,0.0
295.107,118.608,0.0
299.632,116.689,0.0
304.158,114.77,0.0
308.683,112.851,0.0
