x,y,z
-70.085,69.626,0.0
-74.911,68.497,0.0
-79.771,67.528,0.0
-84.656,66.696,0.0
-89.548,65.899,0.0
-94.429,65.042,0.0
-99.292,64.089,0.0
-104.136,63.045,0.0
-108.929,61.787,0.0
-113.425,59.745,0.0
-116.772,56.149,0.0
-118.714,51.6,0.0
-120.086,46.838,0.0
-121.337,42.043,0.0
-122.572,37.243,0.0
-123.807,32.444,0.0
-125.042,27.644,0.0
-126.277,22.845,0.0
-127.511,18.045,0.0
-128.746,13.246,0.0
-129.981,8.446,0.0
-131.217,3.647,0.0
-132.465,-1.149,0.0
-133.767,-5.931,0.0
-135.211,-10.672,0.0
-136.843,-15.351,0.0
-138.59,-19.988,0.0
-140.284,-24.645,0.0
-141.756,-29.377,0.0
-142.958,-34.184,0.0
-143.993,-39.031,0.0
-144.972,-43.889,0.0
-145.941,-48.749,0.0
-146.909,-53.61,0.0
-147.876,-58.47,0.0
-148.844,-63.33,0.0
-149.812,-68.191,0.0
-150.78,-73.051,0.0
-151.748,-77.912,0.0
-152.715,-82.772,0.0
